# GENERATED by hc-conformance --write-counterfactual. One line per grammar-observable
# surface a fixture contains: the verdict, the fixture, what was neutralized, the
# observed delta, and the structural counter-example fields CoverageEvidencePipeline
# joins into an Evidence record (never re-derived from delta's free text). Absent
# fields are "-".
#   Evidenced        neutralizing it changed a result
#   RequiredByLoader the mutant would not load: HermitCrab's own loader threw (an
#                    IDREF/lookup/coercion failure) after passing DTD validation --
#                    a real engine-semantic witness, though not a word-level delta
#   EvidencedJointly only a joint mutation with an independent partner changed a result;
#                    weaker than Evidenced/RequiredByLoader, see CounterfactualGate.EvaluateJointly
#   RequiredByDtd    the mutant would not load: it failed generic DTD content-model
#                    validation before HermitCrab's loader ran at all -- this only
#                    re-derives Level 1's static DTD enumeration and is NOT equally
#                    conclusive with Evidenced; there is no parse-time witness
#   Timeout          the mutant did not finish in time, which is not evidence
#   Unobservable     neutralizing it changed nothing, which is not evidence
# fixture is the first-discovered fixture reaching verdict (its run is what mutation/
# delta/example describe); witnessed_by is EVERY fixture that reached the identical
# verdict, comma-separated, ALWAYS including fixture -- a tie is not a loss, see
# CounterfactualLedger.Sweep. FoldInCandidateLedger reads this to tell 'only an edge
# case witnesses this' from 'an edge case was merely recorded first'.
surface	verdict	fixture	mutation	delta	example_word	example_outcome	counterexample_kind	counterexample_outcome	witnessed_by
dtd:element/PhonologicalFeatureSystem	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <PhonologicalFeatureSystem> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'featRound'.    at System.Xml.X...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'featRound'.    at System.Xml.X...	edge-cases/alpha-variable-name-collision,edge-cases/disjunctive-recheck,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/mpr-gated-exception,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/PhonologicalRule	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <PhonologicalRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'prDoubleAlpha'.    at System.X...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'prDoubleAlpha'.    at System.X...	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth,edge-cases/loader-default-symbol,edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,edge-cases/subrule-morphosyntactic-gating,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/PhonologicalRuleDefinitions	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <PhonologicalRuleDefinitions> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'prDoubleAlpha'.    at System.X...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'prDoubleAlpha'.    at System.X...	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth,edge-cases/loader-default-symbol,edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,edge-cases/subrule-morphosyntactic-gating,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/PhonologicalSubrule	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <PhonologicalSubrule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PhonologicalSubrules' has incomplete c...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PhonologicalSubrules' has incomplete c...	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth,edge-cases/loader-default-symbol,edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,edge-cases/subrule-morphosyntactic-gating,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/PhonologicalSubrules	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <PhonologicalSubrules> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PhonologicalRule' has incomplete conte...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PhonologicalRule' has incomplete conte...	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth,edge-cases/loader-default-symbol,edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,edge-cases/subrule-morphosyntactic-gating,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/Properties	Unobservable	edge-cases/feature-gating-breadth	removed 1 <Properties> element(s)	all 15 word(s) unchanged	-	-	None	-	edge-cases/feature-gating-breadth,edge-cases/loader-isactive-breadth
dtd:element/Property	RequiredByDtd	edge-cases/feature-gating-breadth	removed 1 <Property> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Properties' has incomplete content. Li...	kal	ok::KAL|kal	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Properties' has incomplete content. Li...	edge-cases/feature-gating-breadth,edge-cases/loader-isactive-breadth
dtd:element/RealizationalFeatures	RequiredByDtd	edge-cases/feature-gating-breadth	emptied 1 <RealizationalFeatures> element(s) (1 child node(s) removed) rather than deleting them, in place of a deletion that did not terminate	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'RealizationalFeatures' has incomplete ...	kal	ok::KAL|kal	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'RealizationalFeatures' has incomplete ...	edge-cases/feature-gating-breadth,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering
dtd:element/RealizationalRule	RequiredByDtd	edge-cases/feature-gating-breadth	removed 1 <RealizationalRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'rrPast'.    at System.Xml.XmlV...	kal	ok::KAL|kal	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'rrPast'.    at System.Xml.XmlV...	edge-cases/feature-gating-breadth,edge-cases/morphotactic-attribute-breadth,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering
dtd:element/Region	RequiredByDtd	edge-cases/stem-name-restricted-root-allomorph	removed 1 <Region> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Regions' has incomplete content. List ...	tam	ok::ROOT|tam	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Regions' has incomplete content. List ...	edge-cases/stem-name-restricted-root-allomorph,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering,languages/templatic-root-modification
dtd:element/Regions	RequiredByDtd	edge-cases/stem-name-restricted-root-allomorph	removed 1 <Regions> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'StemName' has incomplete content. List...	tam	ok::ROOT|tam	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'StemName' has incomplete content. List...	edge-cases/stem-name-restricted-root-allomorph,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering,languages/templatic-root-modification
dtd:element/Representation	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 4 <Representation> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Representations' has incomplete conten...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Representations' has incomplete conten...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/Representations	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 4 <Representations> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'SegmentDefinition' has invalid child e...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'SegmentDefinition' has invalid child e...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/RequiredEnvironments	Evidenced	edge-cases/diacritic-segments	removed 1 <RequiredEnvironments> element(s)	'añota': ok::- -> ok::YEAR+DIM|añota	añota	ok::-	Word	ok::YEAR+DIM|añota	edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/free-fluctuating-allomorph-pair,edge-cases/strrep-identity,languages/suffixing-evidential-adjacency-chain
dtd:element/RequiredFootFeatures	Evidenced	edge-cases/feature-gating-breadth	removed 2 <RequiredFootFeatures> element(s)	'molka': ok::- -> ok::MOL+AGR|molka	molka	ok::-	Word	ok::MOL+AGR|molka	edge-cases/feature-gating-breadth
dtd:element/RequiredHeadFeatures	Evidenced	edge-cases/feature-gating-breadth	removed 1 <RequiredHeadFeatures> element(s)	'tunka': ok::- -> ok::TUN+AGR|tunka	tunka	ok::-	Word	ok::TUN+AGR|tunka	edge-cases/feature-gating-breadth
dtd:element/RightEnvironment	Evidenced	edge-cases/disjunctive-recheck	removed 1 <RightEnvironment> element(s)	'wak': ok::|wak -> ok::-	wak	ok::|wak	Word	ok::-	edge-cases/disjunctive-recheck,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,edge-cases/strrep-identity,languages/metathesis-phase-isolation,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/Segment	Evidenced	edge-cases/diacritic-segments	removed 4 <Segment> element(s)	'añota': ok::- -> ok::YEAR+DIM|añota	añota	ok::-	Word	ok::YEAR+DIM|añota	edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/free-fluctuating-allomorph-pair,edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-evidential-adjacency-chain,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/SegmentDefinition	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 4 <SegmentDefinition> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'SegmentDefinitions' has incomplete con...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'SegmentDefinitions' has incomplete con...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/SegmentDefinitions	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <SegmentDefinitions> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CharacterDefinitionTable' has incomple...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CharacterDefinitionTable' has incomple...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/SegmentNaturalClass	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <SegmentNaturalClass> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'NaturalClasses' has incomplete content...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'NaturalClasses' has incomplete content...	edge-cases/alpha-variable-name-collision,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-pattern-shapes,edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,edge-cases/strrep-identity,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-evidential-adjacency-chain,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/Segments	Evidenced	edge-cases/strrep-identity	removed 1 <Segments> element(s)	'ndpat': ok::++|[(^0)∅]?+?nd+?pat;++|nd+?[(^0)∅]?+?pat;+|nd+?pat -> ok::-	ndpat	ok::++|[(^0)∅]?+?nd+?pat;++|nd+?[(^0)∅]?+?pat;+|nd+?pat	Word	ok::-	edge-cases/strrep-identity
dtd:element/SimpleContext	Evidenced	edge-cases/alpha-variable-name-collision	removed 4 <SimpleContext> element(s)	'au': ok::- -> ok::AU|au	au	ok::-	Word	ok::AU|au	edge-cases/alpha-variable-name-collision,edge-cases/loader-default-symbol,edge-cases/right-to-left-anchor-environment
dtd:element/Slot	RequiredByDtd	edge-cases/diacritic-segments	removed 1 <Slot> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'AffixTemplate' has incomplete content....	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'AffixTemplate' has incomplete content....	edge-cases/diacritic-segments,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony
dtd:element/StemName	RequiredByDtd	edge-cases/stem-name-restricted-root-allomorph	removed 1 <StemName> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'StemNames' has incomplete content. Lis...	tam	ok::ROOT|tam	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'StemNames' has incomplete content. Lis...	edge-cases/stem-name-restricted-root-allomorph,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering,languages/templatic-root-modification
dtd:element/StemNames	RequiredByDtd	edge-cases/stem-name-restricted-root-allomorph	removed 1 <StemNames> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'snP1'.    at System.Xml.XmlVal...	tam	ok::ROOT|tam	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'snP1'.    at System.Xml.XmlVal...	edge-cases/stem-name-restricted-root-allomorph,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering,languages/templatic-root-modification
dtd:element/Strata	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <Strata> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Language' has incomplete content. List...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Language' has incomplete content. List...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/Stratum	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <Stratum> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Strata' has incomplete content. List o...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Strata' has incomplete content. List o...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/StructuralDescription	RequiredByDtd	edge-cases/feature-system-breadth	removed 3 <StructuralDescription> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MetathesisRule' has incomplete content...	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MetathesisRule' has incomplete content...	edge-cases/feature-system-breadth,languages/metathesis-phase-isolation
dtd:element/Symbol	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 4 <Symbol> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Symbols' has incomplete content. List ...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Symbols' has incomplete content. List ...	edge-cases/alpha-variable-name-collision,edge-cases/compounding-breadth,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/SymbolicFeature	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 2 <SymbolicFeature> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'featRound'.    at System.Xml.X...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'featRound'.    at System.Xml.X...	edge-cases/alpha-variable-name-collision,edge-cases/compounding-breadth,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/Symbols	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 2 <Symbols> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'SymbolicFeature' has incomplete conten...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'SymbolicFeature' has incomplete conten...	edge-cases/alpha-variable-name-collision,edge-cases/compounding-breadth,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/VariableFeature	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 2 <VariableFeature> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'VariableFeatures' has incomplete conte...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'VariableFeatures' has incomplete conte...	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth,languages/suffixing-vowel-harmony
dtd:element/VariableFeatures	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <VariableFeatures> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'varRound'.    at System.Xml.Xm...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'varRound'.    at System.Xml.Xm...	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth,languages/suffixing-vowel-harmony
dtd:enum/AffixTemplate/final/false	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 AffixTemplate@final from "false" to "true"	sibling "true" of 1 tried: 'kulpu': ok::- -> ok::KUL+NF|kulpu	kulpu	ok::-	Word	ok::KUL+NF|kulpu	edge-cases/morphotactic-attribute-breadth
dtd:enum/AffixTemplate/final/true	Evidenced	edge-cases/loader-isactive-breadth	rewrote 1 AffixTemplate@final from "true" to "false"	sibling "false" of 1 tried: 'kul': ok::KUL|kul -> ok::-	kul	ok::KUL|kul	Word	ok::-	edge-cases/loader-isactive-breadth
dtd:enum/AffixTemplate/isActive/no	Evidenced	edge-cases/loader-isactive-breadth	rewrote 1 AffixTemplate@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'qukul': ok::- -> ok::QU+KUL|qukul	qukul	ok::-	Word	ok::QU+KUL|qukul	edge-cases/loader-isactive-breadth
