# GENERATED by hc-conformance --write-coverage-traceability. One row per words.yaml
# 'exercises:' claim (self-reported by the fixture author), cross-checked against that
# fixture's OWN grammar.xml. This is a STRUCTURAL check, not a semantic one: Confirmed means
# the construct text names a DTD element/attribute this grammar actually contains, never that
# the word's parse depends on it. Contradicted means identifiers were found in the construct's
# text but none appear in this grammar -- the claim looks wrong. Unmapped means the construct's
# text contains no identifier ConstructClaimCorroboration recognizes, so it cannot be checked
# either way. matched_tokens is empty for Unmapped. signature is "-" for expect_fail/expect_skip words.
fixture	word	signature	construct	status	matched_tokens
languages/suffixing-extension-slot-ordering	siliz	SIL+RECURSUF|siliz	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Confirmed	requiredStemName
languages/suffixing-extension-slot-ordering	siliziz	-	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Confirmed	requiredStemName
languages/suffixing-extension-slot-ordering	xkib	EXTX+KIB|xkib	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	xkibz	EXTX+KIB+ENDZ|xkibz	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	yxkib	EXTY+EXTX+KIB|yxkib	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	yxkibz	-	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	zamed	-	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Confirmed	requiredStemName
languages/suffixing-extension-slot-ordering	zimed	-	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Confirmed	requiredStemName
languages/suffixing-vowel-harmony	duii	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/suffixing-vowel-harmony	duy	DUII|duy	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/suffixing-vowel-harmony	esalik	-	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/suffixing-vowel-harmony	etemik	-	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/suffixing-vowel-harmony	guan	GAN+INTS|guan	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/suffixing-vowel-harmony	kalit	-	Alpha-variable phonological environments (VariableFeature/AlphaVariables)	Confirmed	AlphaVariables,VariableFeature,variableFeature
languages/suffixing-vowel-harmony	kalit	-	RewriteRule Simultaneous	Unmapped	-
languages/suffixing-vowel-harmony	kalitin	-	Alpha-variable phonological environments (VariableFeature/AlphaVariables)	Confirmed	AlphaVariables,VariableFeature,variableFeature
languages/suffixing-vowel-harmony	kalitin	-	RewriteRule Simultaneous	Unmapped	-
languages/suffixing-vowel-harmony	kalut	KALT|kalut	Alpha-variable phonological environments (VariableFeature/AlphaVariables)	Confirmed	AlphaVariables,VariableFeature,variableFeature
languages/suffixing-vowel-harmony	kalut	KALT|kalut	RewriteRule Simultaneous	Unmapped	-
languages/suffixing-vowel-harmony	kalutun	KALT+ALPHA|kalutun	Alpha-variable phonological environments (VariableFeature/AlphaVariables)	Confirmed	AlphaVariables,VariableFeature,variableFeature
languages/suffixing-vowel-harmony	kalutun	KALT+ALPHA|kalutun	RewriteRule Simultaneous	Unmapped	-
languages/suffixing-vowel-harmony	kutagida	KUTAK+PAST|kutagida	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-vowel-harmony	kutagida	KUTAK+PAST|kutagida	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
languages/suffixing-vowel-harmony	kutagida	KUTAK+PAST|kutagida	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
languages/suffixing-vowel-harmony	kutagida	KUTAK+PAST|kutagida	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/suffixing-vowel-harmony	kutagida	KUTAK+PAST|kutagida	RewriteRule Simultaneous	Unmapped	-
languages/suffixing-vowel-harmony	kutagila	KUTAK+PRES|kutagila	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-vowel-harmony	kutagila	KUTAK+PRES|kutagila	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
languages/suffixing-vowel-harmony	kutagila	KUTAK+PRES|kutagila	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/suffixing-vowel-harmony	kutagila	KUTAK+PRES|kutagila	RewriteRule Simultaneous	Unmapped	-
languages/suffixing-vowel-harmony	kutak	-	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-vowel-harmony	kutakler	-	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-vowel-harmony	satun	SAT+ALPHA|satun	Alpha-variable phonological environments (VariableFeature/AlphaVariables)	Confirmed	AlphaVariables,VariableFeature,variableFeature
languages/suffixing-vowel-harmony	semitide	SEMIT+PAST|semitide	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-vowel-harmony	semitide	SEMIT+PAST|semitide	RewriteRule Simultaneous	Unmapped	-
languages/suffixing-vowel-harmony	semitideler	SEMIT+PAST+PL|semitideler	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-vowel-harmony	semitile	SEMIT+PRES|semitile	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-vowel-harmony	semitile	SEMIT+PRES|semitile	RewriteRule Simultaneous	Unmapped	-
languages/suffixing-vowel-harmony	setin	SET+ALPHA|setin	Alpha-variable phonological environments (VariableFeature/AlphaVariables)	Confirmed	AlphaVariables,VariableFeature,variableFeature
languages/suffixing-vowel-harmony	sueb	SUEEB|sueb	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/suffixing-vowel-harmony	sueeb	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/suffixing-vowel-harmony	unitide	UNT+PAST|unitide	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/suffixing-vowel-harmony	unitide	UNT+PAST|unitide	RewriteRule Simultaneous	Unmapped	-
languages/suffixing-vowel-harmony	untda	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/templatic-root-modification	gigigi	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/templatic-root-modification	gigigi	-	RewriteRule Simultaneous	Unmapped	-
languages/templatic-root-modification	gigugi	FEEDITER|gigugi	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/templatic-root-modification	gigugu	FEEDSIM|gigugu	RewriteRule Simultaneous	Unmapped	-
languages/templatic-root-modification	halak	HLK|halak	Stem names	Unmapped	-
languages/templatic-root-modification	halaku	-	Stem names	Unmapped	-
languages/templatic-root-modification	hilaka	-	Stem names	Unmapped	-
languages/templatic-root-modification	hilaki	HLK+PERF|hilaki	Stem names	Unmapped	-
languages/templatic-root-modification	hilaku	HLK+IMPF|hilaku	Stem names	Unmapped	-
languages/templatic-root-modification	hulaka	HLK+JUSS|hulaka	Stem names	Unmapped	-
languages/templatic-root-modification	hulaki	HLK+PERF|hulaki	Stem names	Unmapped	-
languages/templatic-root-modification	hulaku	-	Stem names	Unmapped	-
languages/templatic-root-modification	iktub	KTUB|iktub	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/templatic-root-modification	kataba	KTB+P3SG|kataba	MorphologicalOutputAction: CopyFromInput/InsertSegments	Confirmed	CopyFromInput,InsertSegments
languages/templatic-root-modification	katabit	KTB+P1SG|katabit	MorphologicalOutputAction: CopyFromInput/InsertSegments	Confirmed	CopyFromInput,InsertSegments
languages/templatic-root-modification	katabit	KTB+P1SG|katabit	RewriteRule Simultaneous	Unmapped	-
languages/templatic-root-modification	katabt	-	RewriteRule Simultaneous	Unmapped	-
languages/templatic-root-modification	ktub	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/templatic-root-modification	qil	QWL+PASS|qil	MorphologicalOutputAction: ModifyFromInput/InsertSimpleContext	Confirmed	InsertSimpleContext,ModifyFromInput
languages/templatic-root-modification	rada	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/templatic-root-modification	radda	RAD|radda	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/templatic-root-modification	samm	-	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/templatic-root-modification	sapr	SPR+FORMII|sapr	MorphologicalOutputAction: ModifyFromInput/InsertSimpleContext	Confirmed	InsertSimpleContext,ModifyFromInput
